name,categories,address,lat,lng,labeledLatLngs,distance,cc,city,state,country,formattedAddress,crossStreet,postalCode,id
Smile Plus Dental Clinic (Chiang Mai Business Park),Dentist's Office,"114/28 Green Plus 2, Chiang Mai Business Park",18.79689964584214,99.02307718992233,"[{'label': 'display', 'lat': 18.79689964584214, 'lng': 99.02307718992233}]",3751,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['114/28 Green Plus 2, Chiang Mai Business Park (Super Highway Chiangmai-Lampang Road)', 'เมืองเชียงใหม่', 'เชียงใหม่ 50000', 'ประเทศไทย']",Super Highway Chiangmai-Lampang Road,50000,51b572f7498e675b4be55366
Dr. Arunothai Dental Clinic,Dentist's Office,,18.79984,98.986133,"[{'label': 'display', 'lat': 18.79984, 'lng': 98.986133}]",1018,TH,,,ประเทศไทย,['ประเทศไทย'],,,588c3b039c95481c39683409
Srirayap Dental Clinic,Dentist's Office,R-rak 3 street,18.794162,98.979158,"[{'label': 'display', 'lat': 18.794162, 'lng': 98.979158}]",1005,TH,ศรีภูมิ,เชียงใหม่,ประเทศไทย,"['R-rak 3 street', 'ศรีภูมิ', 'เชียงใหม่ 50200', 'ประเทศไทย']",,50200,4d6390c9a45b54810cce022d
PRAMOTE DENTAL CLINIC,Dentist's Office,,18.796739,98.995358,"[{'label': 'display', 'lat': 18.796739, 'lng': 98.995358}]",1009,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['เมืองเชียงใหม่', 'เชียงใหม่', 'ประเทศไทย']",,,4e5c654d183883e00c08d9a2
Fun And Fun Dental Clinic,Dentist's Office,,18.79138009624888,98.97840342892862,"[{'label': 'display', 'lat': 18.79138009624888, 'lng': 98.97840342892862}]",1017,TH,ศรีภูมิ,จ.เชียงใหม่,ประเทศไทย,"['ศรีภูมิ', 'จ.เชียงใหม่', 'ประเทศไทย']",,,4d300c8510e9b1f78f45b7f1
Siree Dental Clinic (สิรีทันตคลินิก),Dentist's Office,,18.776867498423343,99.0077304346787,"[{'label': 'display', 'lat': 18.776867498423343, 'lng': 99.0077304346787}]",2595,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['เมืองเชียงใหม่', 'เชียงใหม่', 'ประเทศไทย']",,,4e6a2c351495acb0c69fb47d
Chaiwat Dental Clinic,Dentist's Office,,18.790239,98.998074,"[{'label': 'display', 'lat': 18.790239, 'lng': 98.998074}]",1058,TH,,,ประเทศไทย,['ประเทศไทย'],,,4e23eb6ae4cdf685919e06ec
Worrapojn Dental Clinic,,,18.780982,98.989361,"[{'label': 'display', 'lat': 18.780982, 'lng': 98.989361}]",1110,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['เมืองเชียงใหม่', 'เชียงใหม่', 'ประเทศไทย']",,,4c3307383896e21e1351e990
Akkaraphol Suandok Dental Clinic,Dentist's Office,,18.800506,98.984513,"[{'label': 'display', 'lat': 18.800506, 'lng': 98.984513}]",1134,TH,ศรีภูมิ,จ.เชียงใหม่,ประเทศไทย,"['ศรีภูมิ', 'จ.เชียงใหม่', 'ประเทศไทย']",,,4d0c787e3bbaa1437e5936da
Maitree Dental Clinic,Dentist's Office,,18.782635,98.981708,"[{'label': 'display', 'lat': 18.782635, 'lng': 98.981708}]",1134,TH,เมืองเชียงใหม่,เชียงใหม่,ประเทศไทย,"['เมืองเชียงใหม่', 'เชียงใหม่', 'ประเทศไทย']",,,4df0adfd1f6ea135c65bceaa
Dental Clinic @ Suandok Hospital,Dentist's Office,,18.7894610047404,98.97491133943444,"[{'label': 'display', 'lat': 18.7894610047404, 'lng': 98.97491133943444}]",1393,TH,,,ประเทศไทย,['ประเทศไทย'],,,4f7bba76e4b0d1da88662e79
